Sector ,Crime ,Population,Crime Level,,,
1,5,9582,2,,,
2,12,14677,2,,,
3,15,7851,2,,,
4,7,8577,2,,,
5,36,20314,2,,,
6,42,13736,2,,,
7,28,9672,2,,,
8,67,20504,2,,,
9,58,10153,2,,,
10,40,10496,2,,,
11,52,15420,2,,,
12,57,14518,2,,,
13,10,800,2,,,
14,22,3221,2,,,
15,24,9120,2,,,
16,1,5903,2,,,
17,19,3544,2,,,
18,27,8463,2,,,
19,79,10479,4,,,
20,99,7230,4,,,
21,35,6467,4,,,
22,32,14310,4,,,
23,14,3486,4,,,
24,7,3655,4,,,
25,77,7865,4,,,
26,89,6894,4,,,
27,92,11168,4,,,
28,12,3611,4,,,
29,17,7009,4,,,
30,18,4987,4,,,
31,46,11064,4,,,
32,33,5075,4,,,
33,19,4417,4,,,
34,13,9401,4,,,
35,15,5662,4,,,
36,22,4069,4,,,
37,31,5811,4,,,
38,14,5271,3,,,
39,25,7112,3,,,
40,24,5807,3,,,
41,20,9148,3,,,
42,34,2647,3,,,
43,10,10295,3,,,
44,18,22972,3,,,
45,20,10389,3,,,
46,17,5924,3,,,
47,4,5717,3,,,
48,6,6891,3,,,
49,72,22964,3,,,
50,63,16312,3,,,
51,66,18343,3,,,
52,32,8612,3,,,
53,30,10057,3,,,
54,20,4187,3,,,
55,20,9172,3,,,
56,18,7848,3,,,
57,22,9431,3,,,
58,88,15097,3,,,
59,47,10657,3,,,
60,66,10343,3,,,
61,66,7020,3,,,
62,40,57456,3,,,
63,100,80581,3,,,
64,37,5882,3,,,
65,77,9411,3,,,
66,69,13010,3,,,
67,54,9279,3,,,
68,30,3283,3,,,
69,21,2920,3,,,
70,24,7766,3,,,
71,12,9648,3,,,
72,19,6380,3,,,
73,20,12752,3,,,
74,29,6725,3,,,
75,51,11075,3,,,
76,22,9075,3,,,
77,23,5460,3,,,
78,23,5714,3,,,
79,21,1524,3,,,
80,44,10001,3,,,
81,41,5779,3,,,
82,102,12584,5,,,
83,24,5954,5,,,
84,31,1878,5,,,
85,23,2006,5,,,
86,12,6140,5,,,
87,55,3771,5,,,
88,66,4883,5,,,
89,17,956,5,,,
90,11,1538,5,,,
91,31,1175,5,,,
92,41,2386,5,,,
93,45,9497,5,,,
94,32,2341,1,,,
95,2,848,1,,,
96,71,2776,1,,,
97,6,794,1,,,
98,14,1062,1,,,
99,25,3756,1,,,
100,84,7131,1,,,
101,52,3018,1,,,
102,2,700,1,,,
103,2,900,1,,,
104,67,12471,1,,,
105,90,5012,1,,,
106,34,1183,1,,,
107,22,2107,1,,,
108,7,4287,1,,,
109,1,600,1,,,
110,12,5735,1,,,
111,1,500,1,,,
112,1,910,1,,,
113,1,376,1,,,
114,3,400,1,,,
115,2,869,1,,,
116,14,2048,1,,,
117,44,3068,1,,,
118,49,1759,1,,,
119,61,4402,1,,,
120,32,4174,1,,,
121,60,7986,1,,,
122,109,14008,1,,,
123,12,1443,1,,,
124,33,1837,1,,,
125,15,8440,1,,,
126,39,10348,1,,,
127,32,4595,1,,,
128,93,14862,1,,,
129,11,4250,1,,,
130,14,4349,1,,,
131,1,700,1,,,
132,21,7653,2,,,
133,24,5045,2,,,
134,14,2993,2,,,
135,52,5012,2,,,
136,21,2154,2,,,
137,98,11241,2,,,
138,3,654,2,,,
139,3,600,2,,,
140,1,268,2,,,
141,16,4646,2,,,
142,33,3751,2,,,
143,39,2912,2,,,
144,81,2602,2,,,
145,12,1563,2,,,
146,1,109,2,,,
147,5,340,2,,,
148,3,731,2,,,
149,77,3374,2,,,
150,83,3444,2,,,
151,2,1217,2,,,
152,2,556,2,,,
153,12,735,2,,,
154,3,1797,2,,,
155,1,692,2,,,
156,2,245,2,,,
157,4,623,2,,,
158,1,354,2,,,
159,12,1490,2,,,
160,2,253,2,,,
161,3,451,2,,,
162,22,1686,2,,,
163,41,1678,2,,,